Bundesland,Kreis/Stadt,Fälle,Tote
Niedersachsen,SK Braunschweig,12,0
Niedersachsen,SK Salzgitter,8,0
Niedersachsen,SK Wolfsburg,9,0
Niedersachsen,LK Gifhorn,27,0
Niedersachsen,LK Goslar,18,0
Niedersachsen,LK Helmstedt,11,0
Niedersachsen,LK Northeim,12,0
Niedersachsen,LK Peine,13,0
Niedersachsen,LK Wolfenbüttel,3,0
Niedersachsen,LK Göttingen,42,0
Niedersachsen,Region Hannover,113,0
Niedersachsen,LK Diepholz,44,0
Niedersachsen,LK Hameln-Pyrmont,18,0
Niedersachsen,LK Hildesheim,33,0
Niedersachsen,LK Holzminden,19,0
Niedersachsen,LK Nienburg (Weser),12,0
Niedersachsen,LK Schaumburg,21,0
Niedersachsen,LK Celle,26,0
Niedersachsen,LK Cuxhaven,23,0
Niedersachsen,LK Harburg,52,0
Niedersachsen,LK Lüchow-Dannenberg,5,0
Niedersachsen,LK Lüneburg,49,0
Niedersachsen,LK Osterholz,23,0
Niedersachsen,LK Rotenburg (Wümme),21,0
Niedersachsen,LK Heidekreis,4,0
Niedersachsen,LK Stade,44,0
Niedersachsen,LK Uelzen,5,0
Niedersachsen,LK Verden,22,0
Niedersachsen,SK Delmenhorst,6,0
Niedersachsen,SK Emden,7,0
Niedersachsen,SK Oldenburg,21,0
Niedersachsen,SK Osnabrück,75,0
Niedersachsen,SK Wilhelmshaven,5,0
Niedersachsen,LK Ammerland,13,0
Niedersachsen,LK Aurich,19,0
Niedersachsen,LK Cloppenburg,3,0
Niedersachsen,LK Emsland,30,0
Niedersachsen,LK Friesland,3,0
Niedersachsen,LK Grafschaft Bentheim,21,0
Niedersachsen,LK Leer,11,0
Niedersachsen,LK Oldenburg,14,0
Niedersachsen,LK Osnabrück,64,0
Niedersachsen,LK Vechta,33,0
Niedersachsen,LK Wesermarsch,5,0
Niedersachsen,LK Wittmund,4,0
